date,entry_bar,exit_bar,hold_bars,direction,atm_strike,entry_ce,entry_pe,exit_ce,exit_pe,entry_spread,exit_spread,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260408,2026-04-08 13:56:00+05:30,2026-04-08 13:58:00+05:30,2,-1 (buy CE / sell PE),55100,1388.45,867.0,1395.25,860.0,-30.95,-1.55,30,414.0,255.21,158.79,Revert,2026-04
20260408,2026-04-08 13:59:00+05:30,2026-04-08 14:03:00+05:30,4,-1 (buy CE / sell PE),55100,1397.6,859.85,1394.0,861.5,-29.65,1.5,30,-157.5,254.87,-412.37,Revert,2026-04
20260408,2026-04-08 14:09:00+05:30,2026-04-08 14:11:00+05:30,2,-1 (buy CE / sell PE),55100,1373.5,873.05,1385.3,865.3,-34.75,0.0,30,586.5,254.85,331.65,Revert,2026-04
20260408,2026-04-08 14:15:00+05:30,2026-04-08 14:16:00+05:30,1,-1 (buy CE / sell PE),55100,1396.75,877.6,1388.6,878.55,-29.85,4.85,30,-273.0,255.8,-528.8,Revert,2026-04
20260408,2026-04-08 14:26:00+05:30,2026-04-08 14:27:00+05:30,1,-1 (buy CE / sell PE),55100,1477.0,844.6,1489.95,823.0,-27.6,0.95,30,1036.5,260.07,776.43,Revert,2026-04
20260408,2026-04-08 14:29:00+05:30,2026-04-08 14:47:00+05:30,18,-1 (buy CE / sell PE),55100,1472.0,839.4,1610.55,765.0,-32.4,-2.65,30,6388.5,265.87,6122.63,Revert,2026-04
20260408,2026-04-08 14:51:00+05:30,2026-04-08 14:54:00+05:30,3,-1 (buy CE / sell PE),55100,1564.3,792.0,1563.0,782.6,-26.1,0.6,30,243.0,261.88,-18.88,Revert,2026-04
20260408,2026-04-08 15:04:00+05:30,2026-04-08 15:09:00+05:30,5,-1 (buy CE / sell PE),55100,1559.9,781.8,1562.75,774.55,-31.9,-1.8,30,303.0,261.11,41.89,Revert,2026-04
20260408,2026-04-08 15:12:00+05:30,2026-04-08 15:19:00+05:30,7,-1 (buy CE / sell PE),55100,1573.9,775.2,1595.0,760.7,-25.9,4.3,30,1068.0,262.59,805.41,Revert,2026-04
20260408,2026-04-08 15:23:00+05:30,2026-04-08 15:24:00+05:30,1,-1 (buy CE / sell PE),55100,1587.25,758.5,1595.0,756.2,-32.85,-12.8,30,301.5,261.75,39.75,EOD,2026-04
20260409,2026-04-09 09:33:00+05:30,2026-04-09 09:38:00+05:30,5,-1 (buy CE / sell PE),55600,1070.15,1147.0,1077.95,1144.2,-26.85,3.75,30,318.0,252.59,65.41,Revert,2026-04
20260409,2026-04-09 10:07:00+05:30,2026-04-09 10:18:00+05:30,11,-1 (buy CE / sell PE),55600,1036.45,1240.2,1149.05,1113.45,-27.15,-4.4,30,7180.5,261.19,6919.31,Revert,2026-04
20260409,2026-04-09 10:50:00+05:30,2026-04-09 10:55:00+05:30,5,-1 (buy CE / sell PE),55600,1099.2,1158.4,1118.0,1133.0,-25.2,4.0,30,1326.0,255.8,1070.2,Revert,2026-04
20260409,2026-04-09 11:06:00+05:30,2026-04-09 11:13:00+05:30,7,-1 (buy CE / sell PE),55600,1098.0,1154.2,1109.7,1135.4,-28.4,4.3,30,915.0,255.1,659.9,Revert,2026-04
20260409,2026-04-09 11:18:00+05:30,2026-04-09 11:22:00+05:30,4,-1 (buy CE / sell PE),55600,1084.15,1175.3,1079.95,1191.9,-25.95,-1.95,30,-624.0,255.18,-879.18,Revert,2026-04
20260409,2026-04-09 11:27:00+05:30,2026-04-09 11:36:00+05:30,9,-1 (buy CE / sell PE),55600,1070.8,1162.2,1066.95,1174.9,-36.4,-1.95,30,-496.5,253.26,-749.76,Revert,2026-04
20260409,2026-04-09 11:45:00+05:30,2026-04-09 11:46:00+05:30,1,-1 (buy CE / sell PE),55600,1039.9,1199.65,1055.2,1185.1,-28.95,-0.9,30,895.5,254.46,641.04,Revert,2026-04
20260409,2026-04-09 12:29:00+05:30,2026-04-09 12:37:00+05:30,8,-1 (buy CE / sell PE),55600,1037.0,1190.0,1007.75,1225.6,-26.2,2.15,30,-1945.5,251.68,-2197.18,Revert,2026-04
20260409,2026-04-09 12:54:00+05:30,2026-04-09 13:10:00+05:30,16,-1 (buy CE / sell PE),55600,974.55,1262.4,940.95,1310.95,-29.85,-0.2,30,-2464.5,252.31,-2716.81,Revert,2026-04
20260409,2026-04-09 13:37:00+05:30,2026-04-09 13:40:00+05:30,3,-1 (buy CE / sell PE),55600,896.0,1403.45,899.15,1402.65,-27.05,1.7,30,118.5,258.21,-139.71,Revert,2026-04
20260409,2026-04-09 13:50:00+05:30,2026-04-09 13:55:00+05:30,5,-1 (buy CE / sell PE),55600,905.85,1393.8,892.3,1392.1,-27.55,0.2,30,-355.5,257.25,-612.75,Revert,2026-04
20260409,2026-04-09 14:04:00+05:30,2026-04-09 14:08:00+05:30,4,+1 (sell CE / buy PE),55600,910.0,1356.75,919.0,1355.0,29.25,4.0,30,-322.5,255.73,-578.23,Revert,2026-04
20260409,2026-04-09 14:39:00+05:30,2026-04-09 14:46:00+05:30,7,-1 (buy CE / sell PE),55600,836.35,1484.95,818.0,1484.55,-25.6,3.45,30,-538.5,258.53,-797.03,Revert,2026-04
20260409,2026-04-09 15:00:00+05:30,2026-04-09 15:02:00+05:30,2,-1 (buy CE / sell PE),55600,823.3,1469.0,870.8,1374.85,-27.1,0.95,30,4249.5,258.99,3990.51,Revert,2026-04
20260409,2026-04-09 15:03:00+05:30,2026-04-09 15:09:00+05:30,6,-1 (buy CE / sell PE),55600,874.8,1375.0,876.95,1370.15,-31.8,-3.2,30,210.0,254.56,-44.56,Revert,2026-04
20260410,2026-04-10 09:40:00+05:30,2026-04-10 09:45:00+05:30,5,-1 (buy CE / sell PE),55800,1036.25,1026.25,1049.9,1006.25,-25.6,-0.55,30,1009.5,241.69,767.81,Revert,2026-04
20260410,2026-04-10 10:20:00+05:30,2026-04-10 10:26:00+05:30,6,-1 (buy CE / sell PE),55800,1163.8,924.3,1155.0,926.2,-25.5,-3.4,30,-321.0,242.52,-563.52,Revert,2026-04
20260410,2026-04-10 10:27:00+05:30,2026-04-10 10:29:00+05:30,2,-1 (buy CE / sell PE),55800,1135.0,933.0,1128.0,945.3,-27.6,2.7,30,-579.0,241.33,-820.33,Revert,2026-04
20260410,2026-04-10 10:33:00+05:30,2026-04-10 10:34:00+05:30,1,-1 (buy CE / sell PE),55800,1099.0,965.35,1118.7,948.05,-26.95,-1.95,30,1110.0,242.21,867.79,Revert,2026-04
20260410,2026-04-10 10:41:00+05:30,2026-04-10 10:44:00+05:30,3,-1 (buy CE / sell PE),55800,1118.1,956.25,1109.0,954.0,-26.55,5.0,30,-205.5,241.47,-446.97,Revert,2026-04
20260410,2026-04-10 10:50:00+05:30,2026-04-10 10:55:00+05:30,5,-1 (buy CE / sell PE),55800,1107.1,962.45,1089.35,967.6,-27.15,1.75,30,-687.0,240.73,-927.73,Revert,2026-04
20260410,2026-04-10 10:56:00+05:30,2026-04-10 10:58:00+05:30,2,-1 (buy CE / sell PE),55800,1084.0,968.9,1096.65,957.75,-27.9,3.9,30,714.0,241.07,472.93,Revert,2026-04
20260410,2026-04-10 11:01:00+05:30,2026-04-10 11:04:00+05:30,3,-1 (buy CE / sell PE),55800,1135.75,933.85,1125.4,953.45,-31.1,1.35,30,-898.5,241.35,-1139.85,Revert,2026-04
20260410,2026-04-10 11:06:00+05:30,2026-04-10 11:29:00+05:30,23,-1 (buy CE / sell PE),55800,1117.5,952.05,1086.25,979.0,-26.35,-4.75,30,-1746.0,240.24,-1986.24,Revert,2026-04
20260410,2026-04-10 11:32:00+05:30,2026-04-10 12:02:00+05:30,30,-1 (buy CE / sell PE),55800,1104.4,962.0,1084.0,971.0,-29.6,-6.2,30,-882.0,240.4,-1122.4,MaxHold,2026-04
20260410,2026-04-10 12:05:00+05:30,2026-04-10 12:25:00+05:30,20,-1 (buy CE / sell PE),55800,1098.35,959.2,1125.0,928.4,-25.85,-3.4,30,1723.5,241.94,1481.56,Revert,2026-04
20260410,2026-04-10 12:26:00+05:30,2026-04-10 12:29:00+05:30,3,-1 (buy CE / sell PE),55800,1116.35,934.85,1103.05,943.0,-33.5,-2.35,30,-643.5,239.72,-883.22,Revert,2026-04
20260410,2026-04-10 12:31:00+05:30,2026-04-10 12:54:00+05:30,23,-1 (buy CE / sell PE),55800,1100.0,953.05,1082.25,962.55,-36.25,-3.5,30,-817.5,239.61,-1057.11,Revert,2026-04
20260410,2026-04-10 12:56:00+05:30,2026-04-10 13:26:00+05:30,30,-1 (buy CE / sell PE),55800,1088.45,958.55,1125.0,933.4,-28.7,-8.6,30,1851.0,241.84,1609.16,MaxHold,2026-04
20260410,2026-04-10 13:29:00+05:30,2026-04-10 13:49:00+05:30,20,-1 (buy CE / sell PE),55800,1133.85,926.95,1114.35,937.5,-28.5,-4.15,30,-901.5,240.08,-1141.58,Revert,2026-04
20260410,2026-04-10 13:54:00+05:30,2026-04-10 14:24:00+05:30,30,-1 (buy CE / sell PE),55800,1128.45,927.45,1036.85,998.05,-26.8,-1.4,30,-4866.0,236.38,-5102.38,Revert,2026-04
20260410,2026-04-10 14:32:00+05:30,2026-04-10 14:56:00+05:30,24,-1 (buy CE / sell PE),55800,1048.0,1002.0,1086.0,954.25,-34.2,-3.45,30,2572.5,241.83,2330.67,Revert,2026-04
20260410,2026-04-10 15:01:00+05:30,2026-04-10 15:04:00+05:30,3,-1 (buy CE / sell PE),55800,1088.95,939.8,1116.75,910.1,-28.65,3.25,30,1725.0,239.98,1485.02,Revert,2026-04
20260410,2026-04-10 15:08:00+05:30,2026-04-10 15:24:00+05:30,16,-1 (buy CE / sell PE),55800,1148.05,884.35,1151.05,885.95,-26.3,-39.3,30,42.0,239.23,-197.23,EOD,2026-04
