date,opt_type,strike,direction,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260305,CE,58900,SHORT,2026-03-05 12:06:00.337000+05:30,2026-03-05 12:16:00.611000+05:30,1136.2,1127.4,30,264.0,127.94,136.06,Flip,2026-03
20260305,CE,58900,LONG,2026-03-05 12:16:00.611000+05:30,2026-03-05 12:19:00.493000+05:30,1127.4,1133.9,30,195.0,127.81,67.19,Flip,2026-03
20260306,CE,58600,LONG,2026-03-06 09:35:00.480000+05:30,2026-03-06 09:38:00.169000+05:30,1175.55,1203.95,30,852.0,132.49,719.51,Flip,2026-03
20260306,CE,58600,SHORT,2026-03-06 09:38:00.169000+05:30,2026-03-06 09:41:01.027000+05:30,1203.95,1178.45,30,765.0,132.53,632.47,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 09:41:00.624000+05:30,2026-03-09 09:48:00.288000+05:30,1434.5,1400.6,30,-1017.0,147.33,-1164.33,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 09:48:00.288000+05:30,2026-03-09 10:03:01.009000+05:30,1400.6,1388.0,30,378.0,146.7,231.3,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 10:03:01.009000+05:30,2026-03-09 10:07:00.088000+05:30,1388.0,1418.2,30,906.0,147.72,758.28,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 10:07:00.088000+05:30,2026-03-09 10:15:00.035000+05:30,1418.2,1429.85,30,-349.5,148.28,-497.78,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 10:15:00.035000+05:30,2026-03-09 10:37:01.201000+05:30,1429.85,1360.4,30,-2083.5,144.95,-2228.45,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 10:37:01.201000+05:30,2026-03-09 10:40:00.749000+05:30,1360.4,1370.85,30,-313.5,144.15,-457.65,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 10:40:00.749000+05:30,2026-03-09 10:44:00.671000+05:30,1370.85,1374.35,30,105.0,144.96,-39.96,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 10:44:00.671000+05:30,2026-03-09 11:01:00.038000+05:30,1374.35,1507.05,30,-3981.0,146.8,-4127.8,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 11:01:00.038000+05:30,2026-03-09 11:18:00.517000+05:30,1507.05,1488.1,30,-568.5,153.36,-721.86,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 11:18:00.517000+05:30,2026-03-09 11:33:00.294000+05:30,1488.1,1596.95,30,-3265.5,154.57,-3420.07,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 11:33:00.294000+05:30,2026-03-09 11:41:00.106000+05:30,1596.95,1640.55,30,1308.0,163.36,1144.64,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 11:41:00.106000+05:30,2026-03-09 11:43:00.467000+05:30,1640.55,1595.75,30,1344.0,163.34,1180.66,Flip,2026-03
