date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260204,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-04 11:58:00+05:30,2026-02-04 12:17:00+05:30,19,120,450.0,399.0,100.2,127.35,506.75,435.0,91.5,116.85,78.15,97.1,-21.85,-2.9,2274.0,507.39,1766.61,Revert
20260204,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-04 12:58:00+05:30,2026-02-04 13:01:00+05:30,3,120,510.0,410.0,99.5,127.05,484.3,408.7,98.0,124.2,127.55,101.8,27.55,1.8,3090.0,512.99,2577.01,Revert
20260204,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-04 15:15:00+05:30,2026-02-04 15:20:00+05:30,5,120,530.05,470.85,74.6,95.3,546.5,470.85,75.1,97.05,79.9,97.6,-20.1,-2.4,2124.0,526.3,1597.7,Revert
20260205,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2026-02-05 09:34:00+05:30,2026-02-05 09:38:00+05:30,4,120,417.9,329.0,117.9,150.25,392.0,326.0,118.0,152.35,121.25,100.35,21.25,0.35,2508.0,475.79,2032.21,Revert
20260211,"(-3,-2)  w=100",100,-3,-2,13900,13600,13700,2026-02-11 09:31:00+05:30,2026-02-11 09:32:00+05:30,1,120,420.4,322.15,64.8,88.65,400.0,325.25,63.85,87.35,122.1,98.25,22.1,-1.75,2862.0,443.18,2418.82,Revert
20260212,"(-3,-2)  w=100",100,-3,-2,13900,13600,13700,2026-02-12 14:55:00+05:30,2026-02-12 14:59:00+05:30,4,120,315.5,263.35,65.7,92.95,340.0,268.0,61.6,88.0,79.4,98.4,-20.6,-1.6,2280.0,403.27,1876.73,Revert
20260213,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2026-02-13 13:11:00+05:30,2026-02-13 13:12:00+05:30,1,120,336.65,282.1,61.6,86.05,358.0,283.95,61.75,85.5,79.0,97.8,-21.0,-2.2,2256.0,411.87,1844.13,Revert
20260216,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-16 09:32:00+05:30,2026-02-16 09:35:00+05:30,3,120,327.55,277.95,64.1,90.35,349.6,276.55,61.9,88.8,75.85,99.95,-24.15,-0.05,2892.0,409.66,2482.34,Revert
20260216,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-16 09:40:00+05:30,2026-02-16 09:44:00+05:30,4,120,349.6,255.5,71.05,99.3,315.05,244.1,76.5,104.95,122.35,99.4,22.35,-0.6,2754.0,406.6,2347.4,Revert
20260217,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-17 09:44:00+05:30,2026-02-17 09:45:00+05:30,1,120,392.0,340.0,38.15,55.1,425.0,340.35,36.75,54.05,68.95,101.95,-31.05,1.95,3960.0,431.02,3528.98,Revert
20260217,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-17 10:44:00+05:30,2026-02-17 10:46:00+05:30,2,120,429.0,321.0,37.7,55.85,396.15,314.5,40.95,60.45,126.15,101.15,26.15,1.15,3000.0,426.65,2573.35,Revert
