date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260113,PE,25850,2026-01-13 14:55:00.082000+05:30,2026-01-13 15:05:00.715000+05:30,123.2,128.3,65,-331.5,66.35,-397.85,MidExit,2026-01
20260113,PE,25850,2026-01-13 15:10:00.576000+05:30,2026-01-13 15:15:00.326000+05:30,111.9,110.75,65,74.75,64.42,10.33,MidExit,2026-01
20260114,CE,25650,2026-01-14 10:20:00.390000+05:30,2026-01-14 10:25:04.663000+05:30,161.3,156.1,65,338.0,71.92,266.08,MidExit,2026-01
20260114,CE,25650,2026-01-14 12:10:01.453000+05:30,2026-01-14 12:17:42.262000+05:30,206.2,200.6,65,364.0,78.83,285.17,MidExit,2026-01
20260114,CE,25650,2026-01-14 12:50:00.351000+05:30,2026-01-14 12:58:08.301000+05:30,193.7,191.1,65,169.0,76.99,92.01,MidExit,2026-01
20260114,CE,25650,2026-01-14 13:05:00.579000+05:30,2026-01-14 13:10:00.035000+05:30,187.0,191.3,65,-279.5,76.16,-355.66,MidExit,2026-01
20260114,CE,25650,2026-01-14 13:15:00.900000+05:30,2026-01-14 13:30:00.919000+05:30,186.95,166.2,65,1348.75,75.42,1273.33,MidExit,2026-01
20260114,CE,25650,2026-01-14 13:35:00.237000+05:30,2026-01-14 13:50:01.025000+05:30,157.15,137.0,65,1309.75,70.84,1238.91,MidExit,2026-01
20260114,CE,25650,2026-01-14 13:55:00.146000+05:30,2026-01-14 14:00:02.434000+05:30,123.95,125.0,65,-68.25,66.34,-134.59,MidExit,2026-01
20260114,CE,25650,2026-01-14 14:05:00.903000+05:30,2026-01-14 14:10:00.208000+05:30,120.2,128.35,65,-529.75,65.97,-595.72,MidExit,2026-01
20260114,CE,25650,2026-01-14 14:25:00.082000+05:30,2026-01-14 14:30:01.211000+05:30,114.7,123.15,65,-549.25,65.13,-614.38,MidExit,2026-01
20260114,PE,25650,2026-01-14 09:55:00.306000+05:30,2026-01-14 10:00:00.696000+05:30,82.7,84.85,65,-139.75,60.01,-199.76,MidExit,2026-01
20260114,PE,25650,2026-01-14 10:50:00.082000+05:30,2026-01-14 10:55:07.138000+05:30,98.45,97.6,65,55.25,62.36,-7.11,MidExit,2026-01
20260114,PE,25650,2026-01-14 11:00:00.663000+05:30,2026-01-14 11:06:29.078000+05:30,86.05,88.75,65,-175.5,60.55,-236.05,MidExit,2026-01
20260114,PE,25650,2026-01-14 11:20:00.705000+05:30,2026-01-14 11:25:01.310000+05:30,81.4,83.5,65,-136.5,59.81,-196.31,MidExit,2026-01
20260114,PE,25650,2026-01-14 11:30:00.399000+05:30,2026-01-14 11:35:03.699000+05:30,72.7,74.25,65,-100.75,58.46,-159.21,MidExit,2026-01
20260114,PE,25650,2026-01-14 11:50:00.450000+05:30,2026-01-14 11:55:01.952000+05:30,66.4,70.0,65,-234.0,57.54,-291.54,MidExit,2026-01
20260114,PE,25650,2026-01-14 12:05:01.157000+05:30,2026-01-14 12:10:01.452000+05:30,66.6,72.45,65,-380.25,57.64,-437.89,MidExit,2026-01
20260114,PE,25650,2026-01-14 12:40:01.002000+05:30,2026-01-14 12:45:00.876000+05:30,68.6,73.45,65,-315.25,57.92,-373.17,MidExit,2026-01
20260114,PE,25650,2026-01-14 14:15:00.901000+05:30,2026-01-14 14:20:01.143000+05:30,108.15,117.2,65,-588.25,64.14,-652.39,MidExit,2026-01
20260114,PE,25650,2026-01-14 14:45:00.062000+05:30,2026-01-14 14:55:00.219000+05:30,104.5,93.6,65,708.5,62.99,645.51,MidExit,2026-01
20260116,CE,25700,2026-01-16 10:55:00.440000+05:30,2026-01-16 11:01:13.176000+05:30,224.45,224.0,65,29.25,81.79,-52.54,MidExit,2026-01
20260116,CE,25700,2026-01-16 11:05:00.621000+05:30,2026-01-16 11:10:59.645000+05:30,210.1,216.6,65,-422.5,79.79,-502.29,MidExit,2026-01
20260116,CE,25700,2026-01-16 11:15:00.559000+05:30,2026-01-16 11:20:04.007000+05:30,196.7,197.7,65,-65.0,77.56,-142.56,MidExit,2026-01
20260116,CE,25700,2026-01-16 11:25:00.058000+05:30,2026-01-16 11:30:00.387000+05:30,191.2,198.4,65,-468.0,76.89,-544.89,MidExit,2026-01
20260116,CE,25700,2026-01-16 11:40:00.294000+05:30,2026-01-16 11:50:00.096000+05:30,184.9,180.8,65,266.5,75.59,190.91,MidExit,2026-01
20260116,CE,25700,2026-01-16 12:00:00.413000+05:30,2026-01-16 12:05:00.467000+05:30,168.55,182.05,65,-877.5,73.58,-951.08,MidExit,2026-01
20260116,CE,25700,2026-01-16 12:30:00.638000+05:30,2026-01-16 12:35:00.487000+05:30,149.75,162.25,65,-812.5,70.66,-883.16,MidExit,2026-01
20260116,CE,25700,2026-01-16 13:00:00.854000+05:30,2026-01-16 13:08:47.868000+05:30,144.95,138.0,65,451.75,69.35,382.4,MidExit,2026-01
20260116,CE,25700,2026-01-16 13:20:51.693000+05:30,2026-01-16 13:30:00.142000+05:30,125.4,120.45,65,321.75,66.39,255.36,MidExit,2026-01
