date,entry_bar,exit_bar,hold_bars,direction,atm_strike,entry_ce,entry_pe,entry_fut,exit_ce,exit_pe,exit_fut,entry_spread,exit_spread,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260316,2026-03-16 13:20:00+05:30,2026-03-16 13:25:00+05:30,5,+1 (short synth),54100,1041.65,1263.05,53851.2,1047.85,1253.75,53894.8,27.4,-0.7,30,843.0,1221.36,-378.36,Revert,2026-03
20260316,2026-03-16 13:31:00+05:30,2026-03-16 13:33:00+05:30,2,+1 (short synth),54100,1026.15,1245.05,53843.8,1026.4,1273.75,53850.0,37.3,2.65,30,1039.5,1218.85,-179.35,Revert,2026-03
20260316,2026-03-16 13:43:00+05:30,2026-03-16 13:47:00+05:30,4,+1 (short synth),54100,1044.25,1237.45,53879.2,1020.4,1283.4,53835.0,27.6,2.0,30,768.0,1220.2,-452.2,Revert,2026-03
20260316,2026-03-16 13:56:00+05:30,2026-03-16 14:15:00+05:30,19,+1 (short synth),54100,1026.6,1253.45,53847.4,1033.55,1230.1,53900.0,25.75,3.45,30,669.0,1219.55,-550.55,Revert,2026-03
20260316,2026-03-16 14:17:00+05:30,2026-03-16 14:25:00+05:30,8,+1 (short synth),54100,1042.3,1224.1,53892.8,1229.9,1046.05,54284.8,25.4,-0.95,30,790.5,1219.35,-428.85,Revert,2026-03
20260316,2026-03-16 14:41:00+05:30,2026-03-16 14:42:00+05:30,1,+1 (short synth),54100,1343.75,947.15,54471.2,1348.65,936.2,54510.0,25.4,2.45,30,688.5,1230.93,-542.43,Revert,2026-03
20260316,2026-03-16 14:54:00+05:30,2026-03-16 14:57:00+05:30,3,+1 (short synth),54100,1454.4,878.0,54650.6,1425.3,900.1,54626.4,25.8,-1.2,30,810.0,1236.93,-426.93,Revert,2026-03
20260316,2026-03-16 15:22:00+05:30,2026-03-16 15:23:00+05:30,1,+1 (short synth),54100,1370.8,940.45,54502.0,1345.9,956.5,54485.0,28.35,4.4,30,718.5,1232.9,-514.4,Revert,2026-03
20260317,2026-03-17 09:44:00+05:30,2026-03-17 09:49:00+05:30,5,+1 (short synth),54300,1118.75,943.2,54449.4,1152.7,914.55,54535.8,26.15,2.35,30,714.0,1214.26,-500.26,Revert,2026-03
20260317,2026-03-17 10:44:00+05:30,2026-03-17 10:49:00+05:30,5,+1 (short synth),54300,1140.85,904.65,54506.0,1193.6,834.7,54657.4,30.2,1.5,30,861.0,1214.05,-353.05,Revert,2026-03
20260317,2026-03-17 11:00:00+05:30,2026-03-17 11:10:00+05:30,10,+1 (short synth),54300,1190.0,838.8,54625.0,1147.6,874.05,54576.0,26.2,-2.45,30,859.5,1214.89,-355.39,Revert,2026-03
20260317,2026-03-17 11:29:00+05:30,2026-03-17 11:33:00+05:30,4,+1 (short synth),54300,1054.0,979.95,54348.2,1044.4,988.9,54355.0,25.85,0.5,30,760.5,1210.55,-450.05,Revert,2026-03
20260317,2026-03-17 12:21:00+05:30,2026-03-17 12:22:00+05:30,1,+1 (short synth),54300,1075.0,936.45,54412.2,1076.9,928.8,54447.0,26.35,1.1,30,757.5,1210.03,-452.53,Revert,2026-03
20260317,2026-03-17 13:38:00+05:30,2026-03-17 13:46:00+05:30,8,+1 (short synth),54300,1224.2,786.8,54701.2,1205.45,801.15,54702.6,36.2,1.7,30,1035.0,1214.92,-179.92,Revert,2026-03
20260317,2026-03-17 13:54:00+05:30,2026-03-17 13:58:00+05:30,4,+1 (short synth),54300,1215.85,784.1,54700.0,1187.4,807.0,54677.2,31.75,3.2,30,856.5,1214.11,-357.61,Revert,2026-03
20260317,2026-03-17 14:20:00+05:30,2026-03-17 14:26:00+05:30,6,+1 (short synth),54300,1241.5,750.8,54760.0,1177.3,803.3,54670.8,30.7,3.2,30,825.0,1214.59,-389.59,Revert,2026-03
20260317,2026-03-17 14:37:00+05:30,2026-03-17 14:51:00+05:30,14,+1 (short synth),54300,1244.3,743.95,54771.2,1269.95,715.0,54855.8,29.15,-0.85,30,900.0,1214.49,-314.49,Revert,2026-03
20260318,2026-03-18 12:28:00+05:30,2026-03-18 12:33:00+05:30,5,+1 (short synth),55100,909.9,752.85,55229.8,943.05,734.6,55308.8,27.25,-0.35,30,828.0,1199.12,-371.12,Revert,2026-03
20260318,2026-03-18 15:01:00+05:30,2026-03-18 15:02:00+05:30,1,+1 (short synth),55100,996.25,655.0,55415.8,996.5,654.0,55442.0,25.45,0.5,30,748.5,1201.47,-452.97,Revert,2026-03
