date,opt_type,direction,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260128,CE,LONG,25300,2026-01-28 11:45:00.510000+05:30,2026-01-28 14:46:01.346000+05:30,240.05,208.0,65,-2083.25,80.21,-2163.46,Flip,2026-01
20260128,CE,SHORT,25300,2026-01-28 14:46:01.346000+05:30,2026-01-28 15:25:59.898000+05:30,208.0,248.1,65,-2606.5,80.45,-2686.95,EOD,2026-01
20260128,PE,LONG,25300,2026-01-28 11:05:00.931000+05:30,2026-01-28 12:25:00.567000+05:30,200.6,206.7,65,396.5,78.89,317.61,Flip,2026-01
20260128,PE,SHORT,25300,2026-01-28 12:25:00.567000+05:30,2026-01-28 14:46:01.346000+05:30,206.7,213.3,65,-429.0,79.26,-508.26,Flip,2026-01
20260128,PE,LONG,25300,2026-01-28 14:46:01.346000+05:30,2026-01-28 15:25:59.899000+05:30,213.3,174.5,65,-2522.0,75.24,-2597.24,EOD,2026-01
20260129,PE,LONG,25250,2026-01-29 11:12:00.831000+05:30,2026-01-29 15:25:59.276000+05:30,186.65,109.45,65,-5018.0,66.34,-5084.34,EOD,2026-01
20260130,CE,LONG,25250,2026-01-30 11:12:00.154000+05:30,2026-01-30 12:24:00.647000+05:30,205.9,235.75,65,1940.25,82.68,1857.57,Flip,2026-01
20260130,CE,SHORT,25250,2026-01-30 12:24:00.647000+05:30,2026-01-30 13:10:00.257000+05:30,235.75,205.95,65,1937.0,82.68,1854.32,Flip,2026-01
20260130,CE,LONG,25250,2026-01-30 13:10:00.257000+05:30,2026-01-30 13:43:00.390000+05:30,205.95,231.95,65,1690.0,82.2,1607.8,Flip,2026-01
20260130,CE,SHORT,25250,2026-01-30 13:43:00.390000+05:30,2026-01-30 14:44:00.551000+05:30,231.95,230.2,65,113.75,82.91,30.84,Flip,2026-01
20260130,CE,LONG,25250,2026-01-30 14:44:00.551000+05:30,2026-01-30 15:25:59.863000+05:30,230.2,249.3,65,1241.5,85.08,1156.42,EOD,2026-01
20260130,PE,LONG,25250,2026-01-30 13:43:00.391000+05:30,2026-01-30 14:44:00.551000+05:30,177.65,176.6,65,-68.25,74.46,-142.71,Flip,2026-01
20260130,PE,SHORT,25250,2026-01-30 14:44:00.551000+05:30,2026-01-30 15:12:00.436000+05:30,176.6,147.8,65,1872.0,73.59,1798.41,Flip,2026-01
20260130,PE,LONG,25250,2026-01-30 15:12:00.436000+05:30,2026-01-30 15:25:59.666000+05:30,147.8,152.1,65,279.5,70.53,208.97,EOD,2026-01
20260201,CE,LONG,25300,2026-02-01 11:45:00.538000+05:30,2026-02-01 15:25:59.759000+05:30,214.15,19.7,65,-12639.25,55.94,-12695.19,EOD,2026-02
20260201,PE,LONG,25300,2026-02-01 11:09:00.357000+05:30,2026-02-01 11:46:00.440000+05:30,149.55,188.15,65,2509.0,75.08,2433.92,Flip,2026-02
20260201,PE,SHORT,25300,2026-02-01 11:46:00.440000+05:30,2026-02-01 13:14:01.139000+05:30,188.15,289.15,65,-6565.0,79.17,-6644.17,Flip,2026-02
20260201,PE,LONG,25300,2026-02-01 13:14:01.139000+05:30,2026-02-01 14:50:00.430000+05:30,289.15,401.9,65,7328.75,105.86,7222.89,Flip,2026-02
20260201,PE,SHORT,25300,2026-02-01 14:50:00.430000+05:30,2026-02-01 15:25:59.553000+05:30,401.9,601.1,65,-12948.0,115.01,-13063.01,EOD,2026-02
20260202,CE,LONG,24750,2026-02-02 10:22:00.774000+05:30,2026-02-02 11:33:00.971000+05:30,162.25,140.95,65,-1384.5,69.56,-1454.06,Flip,2026-02
20260202,CE,SHORT,24750,2026-02-02 11:33:00.971000+05:30,2026-02-02 13:20:00.925000+05:30,140.95,199.65,65,-3815.5,70.65,-3886.15,Flip,2026-02
20260202,CE,LONG,24750,2026-02-02 13:20:00.925000+05:30,2026-02-02 13:44:00.270000+05:30,199.65,257.5,65,3760.25,85.21,3675.04,Flip,2026-02
20260202,CE,SHORT,24750,2026-02-02 13:44:00.270000+05:30,2026-02-02 15:25:59.854000+05:30,257.5,339.6,65,-5336.5,89.31,-5425.81,EOD,2026-02
20260202,PE,LONG,24750,2026-02-02 11:33:00.971000+05:30,2026-02-02 13:21:00.834000+05:30,107.2,67.0,65,-2613.0,58.71,-2671.71,Flip,2026-02
20260202,PE,SHORT,24750,2026-02-02 13:21:00.834000+05:30,2026-02-02 13:43:00.162000+05:30,67.0,43.7,65,1514.5,56.85,1457.65,Flip,2026-02
