date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 12:16:00+05:30,2026-04-13 12:17:00+05:30,1,20,1382.2,1187.1,353.15,437.85,1396.25,1183.05,357.65,442.3,279.8,297.85,-20.2,-2.15,361.0,348.94,12.06,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 12:19:00+05:30,2026-04-13 12:21:00+05:30,2,20,1388.25,1200.0,351.65,435.15,1388.25,1171.95,362.0,446.6,271.75,300.9,-28.25,0.9,583.0,349.2,233.8,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 12:22:00+05:30,2026-04-13 12:25:00+05:30,3,20,1386.6,1152.0,368.65,454.2,1405.4,1185.7,360.15,442.9,320.15,302.45,20.15,2.45,354.0,349.31,4.69,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 12:27:00+05:30,2026-04-13 12:30:00+05:30,3,20,1435.0,1239.9,343.4,424.45,1475.5,1252.25,346.65,425.85,276.15,302.45,-23.85,2.45,526.0,353.89,172.11,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 12:40:00+05:30,2026-04-13 12:41:00+05:30,1,20,1440.7,1242.5,356.7,437.9,1463.0,1244.3,358.35,439.8,279.4,300.15,-20.6,0.15,415.0,354.76,60.24,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 12:56:00+05:30,2026-04-13 12:58:00+05:30,2,20,1400.0,1163.1,381.0,469.7,1412.5,1200.5,371.65,456.95,325.6,297.3,25.6,-2.7,566.0,351.84,214.16,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 13:00:00+05:30,2026-04-13 13:03:00+05:30,3,20,1380.95,1187.2,374.15,457.0,1325.05,1116.55,391.0,480.4,276.6,297.9,-23.4,-2.1,426.0,348.34,77.66,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 13:11:00+05:30,2026-04-13 13:20:00+05:30,9,20,1383.2,1192.8,365.7,450.35,1445.95,1232.15,349.55,433.6,275.05,297.85,-24.95,-2.15,456.0,351.71,104.29,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 13:45:00+05:30,2026-04-13 13:46:00+05:30,1,20,1478.85,1236.0,337.4,415.85,1455.45,1233.75,335.05,415.05,321.3,301.7,21.3,1.7,392.0,352.94,39.06,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 13:51:00+05:30,2026-04-13 14:11:00+05:30,20,20,1473.35,1274.15,321.75,396.9,1464.65,1240.0,321.1,396.55,274.35,300.1,-25.65,0.1,515.0,352.58,162.42,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 14:12:00+05:30,2026-04-13 14:18:00+05:30,6,20,1455.05,1261.85,309.45,383.1,1502.55,1273.95,312.75,386.0,266.85,301.85,-33.15,1.85,700.0,352.63,347.37,Revert
