date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,max_price,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251127,CE,26200,2025-11-27 14:25:00.210000+05:30,2025-11-27 15:25:59.166000+05:30,125.45,133.15,139.6,75,577.5,70.63,506.87,EOD,2025-11
20251127,PE,26200,2025-11-27 11:33:00.258000+05:30,2025-11-27 13:12:32.226000+05:30,79.25,113.65,113.65,75,2580.0,66.26,2513.74,DPT,2025-11
20251128,PE,26200,2025-11-28 13:53:01.363000+05:30,2025-11-28 15:22:01.147000+05:30,84.8,66.0,85.1,75,-1410.0,59.58,-1469.58,Flip,2025-11
20251201,CE,26200,2025-12-01 14:02:00.333000+05:30,2025-12-01 14:45:01.180000+05:30,74.75,55.1,82.65,75,-1473.75,57.67,-1531.42,Flip,2025-12
20251201,PE,26200,2025-12-01 14:45:01.170000+05:30,2025-12-01 15:25:59.994000+05:30,76.55,66.45,91.35,75,-757.5,59.36,-816.86,EOD,2025-12
20251202,PE,26200,2025-12-02 11:42:00.578000+05:30,2025-12-02 12:36:00.160000+05:30,138.45,109.45,152.0,75,-2175.0,67.65,-2242.65,Flip,2025-12
20251202,PE,26200,2025-12-02 12:55:00.990000+05:30,2025-12-02 15:25:58.865000+05:30,152.2,167.0,203.4,75,1110.0,76.41,1033.59,EOD,2025-12
20251203,CE,26050,2025-12-03 11:40:00.904000+05:30,2025-12-03 12:42:00.196000+05:30,99.2,90.1,106.35,75,-682.5,63.54,-746.04,Flip,2025-12
20251203,CE,26050,2025-12-03 14:13:00.549000+05:30,2025-12-03 15:25:58.906000+05:30,95.15,111.85,119.55,75,1252.5,66.53,1185.97,EOD,2025-12
20251203,PE,26050,2025-12-03 12:43:00.297000+05:30,2025-12-03 14:13:00.558000+05:30,177.05,157.6,185.8,75,-1458.75,75.9,-1534.65,Flip,2025-12
20251204,CE,26000,2025-12-04 14:11:00.147000+05:30,2025-12-04 15:25:59.867000+05:30,124.8,141.3,152.7,75,1237.5,71.78,1165.72,EOD,2025-12
20251204,PE,26000,2025-12-04 11:30:01.566000+05:30,2025-12-04 13:41:11.645000+05:30,73.15,108.05,108.05,75,2617.5,65.24,2552.26,DPT,2025-12
20251205,CE,26000,2025-12-05 11:12:00.611000+05:30,2025-12-05 12:33:01.211000+05:30,198.8,234.0,234.0,75,2640.0,87.64,2552.36,DPT,2025-12
20251205,PE,26000,2025-12-05 10:30:01.042000+05:30,2025-12-05 11:03:01.370000+05:30,59.3,33.25,76.0,75,-1953.75,54.0,-2007.75,Flip,2025-12
20251210,CE,25850,2025-12-10 13:20:00.337000+05:30,2025-12-10 13:59:00.280000+05:30,128.55,114.75,143.25,75,-1035.0,68.08,-1103.08,Flip,2025-12
