date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20251208,"(-3,+2)  w=500",500,-3,2,28000,27700,28200,2025-12-08 12:29:00+05:30,2025-12-08 12:54:00+05:30,25,65,436.95,170.0,212.0,467.1,416.0,173.9,208.0,467.1,522.05,501.2,22.05,1.2,1355.25,386.47,968.78,Revert
20251208,"(-3,+2)  w=500",500,-3,2,28000,27700,28200,2025-12-08 13:20:00+05:30,2025-12-08 13:42:00+05:30,22,65,396.1,171.75,226.15,467.1,364.35,152.3,252.45,539.85,465.3,499.45,-34.7,-0.55,2219.75,388.57,1831.18,Revert
20251208,"(-3,+2)  w=500",500,-3,2,28000,27700,28200,2025-12-08 14:17:00+05:30,2025-12-08 14:20:00+05:30,3,65,345.6,145.3,260.0,531.3,362.0,140.3,252.75,531.3,471.6,500.25,-28.4,0.25,1862.25,388.19,1474.06,Revert
20251208,"(-3,+2)  w=500",500,-3,2,28000,27700,28200,2025-12-08 14:49:00+05:30,2025-12-08 14:59:00+05:30,10,65,386.6,160.4,236.55,531.3,372.1,154.15,249.4,531.3,520.95,499.85,20.95,-0.15,1371.5,391.94,979.56,Revert
20251208,"(-3,+2)  w=500",500,-3,2,28000,27700,28200,2025-12-08 15:00:00+05:30,2025-12-08 15:24:00+05:30,24,65,388.6,160.25,237.25,531.3,369.45,153.8,255.0,531.3,522.4,491.95,22.4,-8.05,1979.25,392.78,1586.47,EOD
20251209,"(-3,+2)  w=500",500,-3,2,27700,27400,27900,2025-12-09 09:30:00+05:30,2025-12-09 10:15:00+05:30,45,65,646.5,226.0,171.2,346.9,473.8,209.8,178.5,413.9,596.2,499.4,96.2,-0.6,6292.0,399.01,5892.99,Revert
20251209,"(-3,+2)  w=500",500,-3,2,27700,27400,27900,2025-12-09 11:02:00+05:30,2025-12-09 11:04:00+05:30,2,65,488.15,231.7,167.6,390.9,488.15,230.65,166.5,390.9,479.75,481.9,-20.25,-18.1,139.75,385.85,-246.1,EOD
20251211,"(-3,+2)  w=500",500,-3,2,27200,26900,27400,2025-12-11 09:34:00+05:30,2025-12-11 15:24:00+05:30,346,65,0.0,399.05,68.1,192.45,0.0,440.7,46.75,140.2,-274.7,-347.25,-774.7,-847.25,-4715.75,284.57,-5000.32,EOD
20251215,"(-3,+2)  w=500",500,-3,2,27700,27400,27900,2025-12-15 09:30:00+05:30,2025-12-15 09:35:00+05:30,5,65,399.0,192.0,142.1,285.75,399.0,141.75,146.35,389.6,350.65,500.5,-149.35,0.5,9740.25,357.52,9382.73,Revert
20251215,"(-3,+2)  w=500",500,-3,2,27700,27400,27900,2025-12-15 10:19:00+05:30,2025-12-15 11:25:00+05:30,66,65,394.75,142.75,131.2,359.2,394.75,134.0,138.35,376.0,480.0,498.4,-20.0,-1.6,1196.0,349.34,846.66,Revert
20251215,"(-3,+2)  w=500",500,-3,2,27700,27400,27900,2025-12-15 11:55:00+05:30,2025-12-15 12:39:00+05:30,44,65,422.0,149.25,117.9,370.0,449.3,158.05,107.4,315.0,524.85,498.85,24.85,-1.15,1690.0,351.09,1338.91,Revert
20251215,"(-3,+2)  w=500",500,-3,2,27700,27400,27900,2025-12-15 12:43:00+05:30,2025-12-15 13:06:00+05:30,23,65,449.3,149.7,107.4,328.95,441.65,158.05,111.85,328.95,521.15,500.7,21.15,0.7,1329.25,349.82,979.43,Revert
20251216,"(-3,+2)  w=500",500,-3,2,27600,27300,27800,2025-12-16 10:25:00+05:30,2025-12-16 12:11:00+05:30,106,65,396.6,145.75,122.95,349.05,390.0,130.05,138.05,376.15,476.95,498.05,-23.05,-1.95,1371.5,347.75,1023.75,Revert
20251216,"(-3,+2)  w=500",500,-3,2,27600,27300,27800,2025-12-16 12:37:00+05:30,2025-12-16 12:42:00+05:30,5,65,386.45,135.05,130.5,357.35,386.0,130.0,131.4,373.9,478.25,498.5,-21.75,-1.5,1316.25,346.32,969.93,Revert
20251216,"(-3,+2)  w=500",500,-3,2,27600,27300,27800,2025-12-16 13:58:00+05:30,2025-12-16 14:18:00+05:30,20,65,393.8,129.5,124.9,380.75,377.5,123.65,134.0,377.15,520.15,497.0,20.15,-3.0,1504.75,347.28,1157.47,Revert
20251216,"(-3,+2)  w=500",500,-3,2,27600,27300,27800,2025-12-16 15:21:00+05:30,2025-12-16 15:24:00+05:30,3,65,339.0,105.55,144.1,386.3,341.0,105.15,144.2,417.3,475.65,508.95,-24.35,8.95,2164.5,343.24,1821.26,EOD
