date,pair,direction,entry_ts,exit_ts,hold_secs,entry_msp,exit_close_msp,entry_exec,exit_exec,lot_size,units,gross_pnl,exit_why,cum_pnl
20260123,"(-1,+1)",-1,2026-01-23 10:04:58+05:30,2026-01-23 10:04:59+05:30,1.0,12.45,-0.55,87.55,99.45,65,130,1547.0,Revert,58825.0
20260123,"(-1,+0)",-1,2026-01-23 14:15:40+05:30,2026-01-23 14:15:41+05:30,1.0,8.65,-0.8,41.35,49.2,65,130,1020.5,Revert,59845.5
20260123,"(+0,+1)",1,2026-01-23 14:39:54+05:30,2026-01-23 14:39:55+05:30,1.0,8.6,0.2,58.6,49.8,65,130,1144.0,Revert,60989.5
20260123,"(-1,+1)",1,2026-01-23 15:03:00+05:30,2026-01-23 15:03:02+05:30,2.0,13.95,0.7,113.95,99.3,65,130,1904.5,Revert,62894.0
20260127,"(-1,+0)",-1,2026-01-27 09:18:23+05:30,2026-01-27 09:18:25+05:30,2.0,12.03,-0.45,37.97,49.52,65,130,1501.5,Revert,64395.5
20260127,"(-1,+0)",1,2026-01-27 09:18:58+05:30,2026-01-27 09:18:59+05:30,1.0,9.1,2.4,59.1,47.6,65,130,1495.0,Revert,65890.5
20260127,"(-1,+1)",-1,2026-01-27 09:19:03+05:30,2026-01-27 09:19:05+05:30,2.0,8.05,-0.55,91.95,99.43,65,130,971.75,Revert,66862.25
20260127,"(-1,+0)",-1,2026-01-27 09:20:53+05:30,2026-01-27 09:20:55+05:30,2.0,8.3,-0.55,41.7,49.45,65,130,1007.5,Revert,67869.75
20260127,"(-1,+1)",-1,2026-01-27 09:21:46+05:30,2026-01-27 09:21:48+05:30,2.0,9.25,-0.15,90.75,99.8,65,130,1176.5,Revert,69046.25
20260127,"(-1,+1)",-1,2026-01-27 09:22:02+05:30,2026-01-27 09:22:03+05:30,1.0,8.1,0.9,91.9,100.85,65,130,1163.5,Revert,70209.75
20260127,"(-1,+0)",-1,2026-01-27 09:22:50+05:30,2026-01-27 09:22:52+05:30,2.0,19.75,-0.1,30.25,49.9,65,130,2554.5,Revert,72764.25
