date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251211,CE,25750,2025-12-11 11:04:00.738000+05:30,2025-12-11 11:11:11.891000+05:30,158.3,164.0,75,-427.5,75.56,-503.06,Flip,2025-12
20251211,CE,25750,2025-12-11 13:10:00.923000+05:30,2025-12-11 13:18:34.185000+05:30,191.85,204.3,75,-933.75,81.75,-1015.5,Flip,2025-12
20251211,CE,25750,2025-12-11 14:51:00.943000+05:30,2025-12-11 14:52:39.037000+05:30,189.55,207.0,75,-1308.75,81.51,-1390.26,Flip,2025-12
20251211,PE,25750,2025-12-11 10:16:00.385000+05:30,2025-12-11 10:53:14.768000+05:30,69.85,68.05,75,135.0,59.57,75.43,Flip,2025-12
20251211,PE,25750,2025-12-11 12:02:00.302000+05:30,2025-12-11 12:35:35.070000+05:30,55.75,47.3,75,633.75,56.83,576.92,Flip,2025-12
20251212,CE,26000,2025-12-12 10:09:00.542000+05:30,2025-12-12 10:15:10.612000+05:30,90.75,103.9,75,-986.25,63.79,-1050.04,Flip,2025-12
20251212,CE,26000,2025-12-12 12:12:00.663000+05:30,2025-12-12 12:15:17.869000+05:30,95.25,103.75,75,-637.5,64.43,-701.93,Flip,2025-12
20251212,PE,26000,2025-12-12 11:22:00.328000+05:30,2025-12-12 11:39:13.525000+05:30,74.65,76.45,75,-135.0,60.54,-195.54,Flip,2025-12
20251215,CE,25950,2025-12-15 14:10:00.306000+05:30,2025-12-15 14:41:45.483000+05:30,96.8,103.7,75,-517.5,64.66,-582.16,Flip,2025-12
20251215,PE,25950,2025-12-15 10:30:01.285000+05:30,2025-12-15 10:37:15.992000+05:30,57.55,64.85,75,-547.5,57.69,-605.19,Flip,2025-12
20251216,PE,25950,2025-12-16 12:29:01.485000+05:30,2025-12-16 12:36:54.673000+05:30,58.75,58.65,75,7.5,57.65,-50.15,Flip,2025-12
20251217,CE,25850,2025-12-17 09:49:00.657000+05:30,2025-12-17 10:19:09.722000+05:30,147.95,139.2,75,656.25,73.23,583.02,Flip,2025-12
20251217,PE,25850,2025-12-17 14:19:00.558000+05:30,2025-12-17 14:24:14.358000+05:30,113.05,120.6,75,-566.25,67.57,-633.82,Flip,2025-12
20251218,CE,25750,2025-12-18 13:33:00.271000+05:30,2025-12-18 13:39:51.482000+05:30,186.5,190.1,75,-270.0,80.5,-350.5,Flip,2025-12
20251218,PE,25750,2025-12-18 10:14:00.158000+05:30,2025-12-18 10:50:38.061000+05:30,72.6,57.0,75,1170.0,59.59,1110.41,Flip,2025-12
20251219,CE,25900,2025-12-19 11:28:00.599000+05:30,2025-12-19 11:36:11.847000+05:30,115.0,114.0,75,75.0,67.63,7.37,Flip,2025-12
20251219,CE,25900,2025-12-19 13:14:01.498000+05:30,2025-12-19 13:18:37.197000+05:30,101.6,107.9,75,-472.5,65.49,-537.99,Flip,2025-12
20251219,PE,25900,2025-12-19 12:35:00.361000+05:30,2025-12-19 12:57:39.478000+05:30,54.8,57.6,75,-210.0,57.04,-267.04,Flip,2025-12
20251222,CE,26100,2025-12-22 12:50:01.443000+05:30,2025-12-22 12:54:11.394000+05:30,73.15,78.05,75,-367.5,60.38,-427.88,Flip,2025-12
20251224,CE,26150,2025-12-24 10:49:00.077000+05:30,2025-12-24 10:58:26.274000+05:30,141.35,148.0,75,-498.75,72.57,-571.32,Flip,2025-12
20251224,PE,26150,2025-12-24 12:32:01.508000+05:30,2025-12-24 12:39:23.388000+05:30,53.9,57.0,75,-232.5,56.89,-289.39,Flip,2025-12
20251226,CE,26100,2025-12-26 11:13:00.363000+05:30,2025-12-26 11:57:13.872000+05:30,60.55,59.7,75,63.75,57.94,5.81,Flip,2025-12
20251226,PE,26100,2025-12-26 15:00:00.359000+05:30,2025-12-26 15:15:49.606000+05:30,85.35,90.8,75,-408.75,62.57,-471.32,Flip,2025-12
20251229,CE,26050,2025-12-29 09:57:00.440000+05:30,2025-12-29 11:45:43.885000+05:30,57.35,28.95,75,2130.0,56.44,2073.56,Flip,2025-12
20251229,PE,26050,2025-12-29 11:49:00.320000+05:30,2025-12-29 11:52:22.796000+05:30,79.0,82.25,75,-243.75,61.36,-305.11,Flip,2025-12
20251229,PE,26050,2025-12-29 14:25:00.724000+05:30,2025-12-29 14:36:37.832000+05:30,104.85,111.3,75,-483.75,66.07,-549.82,Flip,2025-12
20251230,CE,25900,2025-12-30 10:53:00.005000+05:30,2025-12-30 11:13:32.530000+05:30,54.6,47.15,75,558.75,56.66,502.09,Flip,2025-12
20260101,CE,26200,2026-01-01 10:21:00.755000+05:30,2026-01-01 10:25:53.572000+05:30,63.65,68.4,65,-308.75,57.15,-365.9,Flip,2026-01
20260101,CE,26200,2026-01-01 11:44:00.405000+05:30,2026-01-01 11:59:04.143000+05:30,65.15,69.35,65,-273.0,57.37,-330.37,Flip,2026-01
20260101,PE,26200,2026-01-01 10:47:00.261000+05:30,2026-01-01 11:04:41.511000+05:30,87.4,88.5,65,-71.5,60.71,-132.21,Flip,2026-01
