date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251203,PE,26050,2025-12-03 12:43:00.297000+05:30,2025-12-03 12:59:14.650000+05:30,177.05,170.1,75,-521.25,77.7,-598.95,Flip,2025-12
20251204,CE,26000,2025-12-04 14:11:00.147000+05:30,2025-12-04 14:21:21.744000+05:30,124.8,114.5,75,-772.5,67.92,-840.42,Flip,2025-12
20251204,PE,26000,2025-12-04 11:30:01.566000+05:30,2025-12-04 12:02:31.713000+05:30,73.15,82.05,75,667.5,61.5,606.0,Flip,2025-12
20251205,CE,26000,2025-12-05 11:12:00.611000+05:30,2025-12-05 11:30:10.975000+05:30,198.8,198.75,75,-3.75,82.56,-86.31,Flip,2025-12
20251205,PE,26000,2025-12-05 10:30:01.042000+05:30,2025-12-05 10:31:44.108000+05:30,59.3,55.95,75,-251.25,57.27,-308.52,Flip,2025-12
20251210,CE,25850,2025-12-10 13:20:00.337000+05:30,2025-12-10 13:32:57.730000+05:30,128.55,126.3,75,-168.75,69.75,-238.5,Flip,2025-12
20251210,PE,25850,2025-12-10 13:57:00.991000+05:30,2025-12-10 14:32:11.209000+05:30,138.1,157.0,75,1417.5,74.49,1343.01,Flip,2025-12
20251211,CE,25750,2025-12-11 12:02:00.302000+05:30,2025-12-11 12:35:16.774000+05:30,201.75,226.1,75,1826.25,86.6,1739.65,Flip,2025-12
20251211,CE,25750,2025-12-11 14:30:01.422000+05:30,2025-12-11 14:39:31.464000+05:30,232.5,222.7,75,-735.0,87.15,-822.15,Flip,2025-12
20251211,PE,25750,2025-12-11 11:05:00.635000+05:30,2025-12-11 11:10:35.238000+05:30,89.55,77.25,75,-922.5,61.36,-983.86,Flip,2025-12
20251211,PE,25750,2025-12-11 13:13:00.834000+05:30,2025-12-11 13:15:37.671000+05:30,56.65,49.7,75,-521.25,56.28,-577.53,Flip,2025-12
20251212,CE,26000,2025-12-12 11:22:00.328000+05:30,2025-12-12 11:29:07.982000+05:30,106.65,103.85,75,-210.0,65.77,-275.77,Flip,2025-12
20251212,CE,26000,2025-12-12 14:09:00.975000+05:30,2025-12-12 14:17:09.346000+05:30,123.35,113.85,75,-712.5,67.78,-780.28,Flip,2025-12
20251216,PE,25950,2025-12-16 14:08:00.409000+05:30,2025-12-16 14:29:31.361000+05:30,62.35,78.2,75,1188.75,60.58,1128.17,Flip,2025-12
20251217,CE,25850,2025-12-17 15:01:01.014000+05:30,2025-12-17 15:15:38.714000+05:30,120.0,114.55,75,-408.75,67.76,-476.51,Flip,2025-12
20251219,CE,25900,2025-12-19 12:40:00.203000+05:30,2025-12-19 12:50:09.366000+05:30,120.45,113.0,75,-558.75,67.56,-626.31,Flip,2025-12
20251219,CE,25900,2025-12-19 13:34:01.179000+05:30,2025-12-19 13:54:47.661000+05:30,121.4,120.8,75,-45.0,68.71,-113.71,Flip,2025-12
20251222,CE,26100,2025-12-22 14:35:00.243000+05:30,2025-12-22 14:38:47.974000+05:30,89.95,83.85,75,-457.5,62.32,-519.82,Flip,2025-12
20251224,PE,26150,2025-12-24 13:12:00.712000+05:30,2025-12-24 13:39:00.048000+05:30,64.9,70.65,75,431.25,59.57,371.68,Flip,2025-12
20251226,CE,26100,2025-12-26 15:00:00.359000+05:30,2025-12-26 15:15:49.606000+05:30,50.1,47.15,75,-221.25,55.69,-276.94,Flip,2025-12
20251229,PE,26050,2025-12-29 12:24:00.925000+05:30,2025-12-29 12:31:00.875000+05:30,91.75,87.45,75,-322.5,62.9,-385.4,Flip,2025-12
20251229,PE,26050,2025-12-29 14:55:00.136000+05:30,2025-12-29 14:57:07.946000+05:30,129.9,117.0,75,-967.5,68.45,-1035.95,Flip,2025-12
20260101,CE,26200,2026-01-01 10:54:00.534000+05:30,2026-01-01 11:04:38.114000+05:30,83.0,77.15,65,-380.25,59.27,-439.52,Flip,2026-01
20260101,CE,26200,2026-01-01 14:17:00.579000+05:30,2026-01-01 14:22:32.374000+05:30,70.85,68.2,65,-172.25,57.79,-230.04,Flip,2026-01
20260101,PE,26200,2026-01-01 11:47:00.075000+05:30,2026-01-01 11:55:06.988000+05:30,101.25,96.3,65,-321.75,62.19,-383.94,Flip,2026-01
20260102,CE,26150,2026-01-02 15:01:00.294000+05:30,2026-01-02 15:14:43.800000+05:30,183.5,190.85,65,477.75,76.41,401.34,Flip,2026-01
20260105,PE,26350,2026-01-05 11:24:00.325000+05:30,2026-01-05 11:31:44.865000+05:30,69.8,62.05,65,-503.75,56.99,-560.74,Flip,2026-01
20260106,PE,26250,2026-01-06 10:38:01.361000+05:30,2026-01-06 11:06:01.957000+05:30,60.8,52.2,65,-559.0,55.5,-614.5,Flip,2026-01
20260106,PE,26250,2026-01-06 13:32:00.527000+05:30,2026-01-06 13:44:36.957000+05:30,95.35,85.85,65,-617.5,60.72,-678.22,Flip,2026-01
20260107,CE,26100,2026-01-07 14:46:00.339000+05:30,2026-01-07 14:48:11.888000+05:30,121.6,113.35,65,-536.25,64.92,-601.17,Flip,2026-01
