entry_date,exit_date,days_held,expiry,lot_size,exit_reason,leg,strike,entry_time,exit_time,entry_price,exit_price,gross_pnl,charges,net_pnl
20260219,20260224,6,2026-02-24,30,Expiry,SYNTH_CE,61400,2026-02-19 09:30:00.183000+05:30,2026-02-24 15:26:59.197000+05:30,306.15,0.05,-9183.0,51.35,-9234.35
20260219,20260224,6,2026-02-24,30,Expiry,SYNTH_PE,61400,2026-02-19 09:30:00.168000+05:30,2026-02-24 15:26:59.944000+05:30,322.35,351.2,-865.5,70.53,-936.03
20260219,20260224,6,2026-02-24,30,Expiry,PUT_ITM,61500,2026-02-19 09:30:00.061000+05:30,2026-02-24 15:26:59.863000+05:30,371.8,451.05,2377.5,78.23,2299.27
20260401,20260407,7,2026-04-28,30,Profitable,SYNTH_CE,52000,2026-04-01 09:30:00.171000+05:30,2026-04-07 15:26:59.602000+05:30,1628.95,2000.35,11142.0,184.53,10957.47
20260401,20260407,7,2026-04-28,30,Profitable,SYNTH_PE,52000,2026-04-01 09:30:00.135000+05:30,2026-04-07 15:26:59.830000+05:30,1587.0,1132.5,13635.0,153.99,13481.01
20260401,20260407,7,2026-04-28,30,Profitable,PUT_ITM,52100,2026-04-01 09:30:00.735000+05:30,2026-04-07 15:26:59.680000+05:30,1632.1,1170.7,-13842.0,136.76,-13978.76
20260408,20260408,1,2026-04-28,30,Profitable,SYNTH_CE,55100,2026-04-08 09:30:00.016000+05:30,2026-04-08 15:26:59.486000+05:30,1139.25,1603.95,13941.0,155.06,13785.94
20260408,20260408,1,2026-04-28,30,Profitable,SYNTH_PE,55100,2026-04-08 09:30:00.839000+05:30,2026-04-08 15:26:59.686000+05:30,1155.0,750.0,12150.0,123.91,12026.09
20260408,20260408,1,2026-04-28,30,Profitable,PUT_ITM,55200,2026-04-08 09:30:00.399000+05:30,2026-04-08 15:26:59.987000+05:30,1196.9,782.0,-12447.0,108.47,-12555.47
20260409,20260410,2,2026-04-28,30,Profitable,SYNTH_CE,55700,2026-04-09 09:30:00.921000+05:30,2026-04-10 15:26:59.361000+05:30,1093.45,1210.05,3498.0,131.74,3366.26
20260409,20260410,2,2026-04-28,30,Profitable,SYNTH_PE,55700,2026-04-09 09:30:00.799000+05:30,2026-04-10 15:26:59.161000+05:30,1108.75,841.2,8026.5,122.48,7904.02
20260409,20260410,2,2026-04-28,30,Profitable,PUT_ITM,55800,2026-04-09 09:30:00.122000+05:30,2026-04-10 15:26:59.613000+05:30,1155.0,879.0,-8280.0,113.49,-8393.49
