date,opt_type,direction,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260212,CE,LONG,25900,2026-02-12 12:54:00.379000+05:30,2026-02-12 13:13:00.286000+05:30,96.1,87.25,65,-575.25,60.91,-636.16,Flip,2026-02
20260212,CE,SHORT,25900,2026-02-12 13:13:00.286000+05:30,2026-02-12 13:26:00.741000+05:30,87.25,98.9,65,-757.25,60.99,-818.24,Flip,2026-02
20260212,CE,LONG,25900,2026-02-12 13:26:00.741000+05:30,2026-02-12 13:50:00.596000+05:30,98.9,83.75,65,-984.75,60.56,-1045.31,Flip,2026-02
20260212,CE,SHORT,25900,2026-02-12 13:50:00.596000+05:30,2026-02-12 15:04:00.094000+05:30,83.75,83.05,65,45.5,60.09,-14.59,Flip,2026-02
20260212,CE,LONG,25900,2026-02-12 15:04:00.094000+05:30,2026-02-12 15:25:59.998000+05:30,83.05,78.2,65,-315.25,59.4,-374.65,EOD,2026-02
20260212,PE,SHORT,25900,2026-02-12 10:21:00.512000+05:30,2026-02-12 11:23:00.737000+05:30,104.65,129.05,65,-1586.0,64.05,-1650.05,Flip,2026-02
20260212,PE,LONG,25900,2026-02-12 11:23:00.737000+05:30,2026-02-12 12:33:01.250000+05:30,129.05,119.55,65,-617.5,65.91,-683.41,Flip,2026-02
20260212,PE,SHORT,25900,2026-02-12 12:33:01.250000+05:30,2026-02-12 13:15:00.271000+05:30,119.55,129.25,65,-630.5,65.92,-696.42,Flip,2026-02
20260212,PE,LONG,25900,2026-02-12 13:15:00.271000+05:30,2026-02-12 13:19:00.052000+05:30,129.25,111.3,65,-1166.75,64.89,-1231.64,Flip,2026-02
20260212,PE,SHORT,25900,2026-02-12 13:19:00.052000+05:30,2026-02-12 13:50:00.697000+05:30,111.3,129.2,65,-1163.5,64.89,-1228.39,Flip,2026-02
20260212,PE,LONG,25900,2026-02-12 13:50:00.697000+05:30,2026-02-12 15:04:00.095000+05:30,129.2,134.05,65,315.25,67.73,247.52,Flip,2026-02
20260212,PE,SHORT,25900,2026-02-12 15:04:00.095000+05:30,2026-02-12 15:25:59.998000+05:30,134.05,145.4,65,-737.75,68.2,-805.95,EOD,2026-02
20260213,CE,SHORT,25600,2026-02-13 11:08:00.998000+05:30,2026-02-13 12:07:00.054000+05:30,85.6,93.95,65,-542.75,60.64,-603.39,Flip,2026-02
20260213,CE,LONG,25600,2026-02-13 12:07:00.054000+05:30,2026-02-13 13:02:00.455000+05:30,93.95,83.9,65,-653.25,60.43,-713.68,Flip,2026-02
20260213,CE,SHORT,25600,2026-02-13 13:02:00.455000+05:30,2026-02-13 15:25:59.090000+05:30,83.9,70.05,65,900.25,59.73,840.52,EOD,2026-02
20260213,PE,SHORT,25600,2026-02-13 12:27:01.042000+05:30,2026-02-13 13:03:00.350000+05:30,99.75,118.2,65,-1199.25,63.12,-1262.37,Flip,2026-02
20260213,PE,LONG,25600,2026-02-13 13:03:00.350000+05:30,2026-02-13 15:25:59.981000+05:30,118.2,180.55,65,4052.75,73.21,3979.54,EOD,2026-02
20260216,CE,SHORT,25450,2026-02-16 11:55:00.030000+05:30,2026-02-16 12:11:00.372000+05:30,118.45,148.25,65,-1937.0,66.34,-2003.34,Flip,2026-02
20260216,CE,LONG,25450,2026-02-16 12:11:00.372000+05:30,2026-02-16 15:25:59.961000+05:30,148.25,269.7,65,7894.25,85.22,7809.03,EOD,2026-02
20260216,PE,SHORT,25450,2026-02-16 10:03:00.019000+05:30,2026-02-16 13:57:00.941000+05:30,53.3,37.35,65,1036.75,54.95,981.8,Flip,2026-02
20260217,CE,SHORT,25600,2026-02-17 10:45:00.056000+05:30,2026-02-17 11:33:00.592000+05:30,81.95,117.2,65,-2291.25,60.87,-2352.12,Flip,2026-02
20260217,CE,LONG,25600,2026-02-17 11:33:00.592000+05:30,2026-02-17 13:05:01.091000+05:30,117.2,122.65,65,354.25,65.95,288.3,Flip,2026-02
20260217,CE,SHORT,25600,2026-02-17 13:05:01.091000+05:30,2026-02-17 15:25:58.834000+05:30,122.65,125.8,65,-204.75,66.2,-270.95,EOD,2026-02
20260218,CE,SHORT,25700,2026-02-18 10:28:00.824000+05:30,2026-02-18 11:35:00.343000+05:30,126.0,151.8,65,-1677.0,67.38,-1744.38,Flip,2026-02
20260218,CE,LONG,25700,2026-02-18 11:35:00.343000+05:30,2026-02-18 15:25:59.858000+05:30,151.8,209.2,65,3731.0,77.77,3653.23,EOD,2026-02
20260218,PE,SHORT,25700,2026-02-18 11:11:00.518000+05:30,2026-02-18 15:25:59.858000+05:30,123.3,82.95,65,2622.75,65.03,2557.72,EOD,2026-02
20260219,CE,SHORT,25850,2026-02-19 11:14:00.553000+05:30,2026-02-19 15:25:59.888000+05:30,75.1,29.6,65,2957.5,57.45,2900.05,EOD,2026-02
20260220,CE,SHORT,25450,2026-02-20 12:47:01.134000+05:30,2026-02-20 14:18:00.848000+05:30,242.1,253.1,65,-715.0,84.85,-799.85,Flip,2026-02
20260220,CE,LONG,25450,2026-02-20 14:18:00.848000+05:30,2026-02-20 15:08:00.057000+05:30,253.1,212.85,65,-2616.25,81.2,-2697.45,Flip,2026-02
20260220,CE,SHORT,25450,2026-02-20 15:08:00.057000+05:30,2026-02-20 15:25:59.974000+05:30,212.85,204.8,65,523.25,79.78,443.47,EOD,2026-02
20260220,PE,SHORT,25450,2026-02-20 10:41:00.414000+05:30,2026-02-20 12:45:00.757000+05:30,78.0,69.7,65,539.5,58.98,480.52,Flip,2026-02
20260220,PE,LONG,25450,2026-02-20 12:45:00.757000+05:30,2026-02-20 14:17:00.683000+05:30,69.7,64.9,65,-312.0,57.35,-369.35,Flip,2026-02
20260220,PE,SHORT,25450,2026-02-20 14:17:00.683000+05:30,2026-02-20 15:06:01.248000+05:30,64.9,76.3,65,-741.0,57.54,-798.54,Flip,2026-02
20260220,PE,LONG,25450,2026-02-20 15:06:01.248000+05:30,2026-02-20 15:25:59.973000+05:30,76.3,78.9,65,169.0,59.29,109.71,EOD,2026-02
20260223,CE,SHORT,25650,2026-02-23 10:41:01.478000+05:30,2026-02-23 14:30:00.185000+05:30,118.85,102.65,65,1053.0,65.05,987.95,Flip,2026-02
20260223,CE,LONG,25650,2026-02-23 14:30:00.185000+05:30,2026-02-23 15:25:59.763000+05:30,102.65,116.0,65,867.75,64.69,803.06,EOD,2026-02
20260223,PE,SHORT,25650,2026-02-23 14:30:00.186000+05:30,2026-02-23 15:25:59.760000+05:30,76.6,64.05,65,815.75,58.64,757.11,EOD,2026-02
20260224,PE,SHORT,25600,2026-02-24 11:13:00.364000+05:30,2026-02-24 12:00:00.657000+05:30,104.3,141.45,65,-2414.75,64.37,-2479.12,Flip,2026-02
20260224,PE,LONG,25600,2026-02-24 12:00:00.657000+05:30,2026-02-24 14:12:01.471000+05:30,141.45,167.5,65,1693.25,72.26,1620.99,Flip,2026-02
20260224,PE,SHORT,25600,2026-02-24 14:12:01.471000+05:30,2026-02-24 15:25:59.894000+05:30,167.5,174.5,65,-455.0,73.23,-528.23,EOD,2026-02
20260225,CE,SHORT,25550,2026-02-25 11:14:00.654000+05:30,2026-02-25 14:20:00.407000+05:30,195.35,127.1,65,4436.25,75.32,4360.93,Flip,2026-02
20260225,CE,LONG,25550,2026-02-25 14:20:00.407000+05:30,2026-02-25 15:25:59.648000+05:30,127.1,126.9,65,-13.0,66.77,-79.77,EOD,2026-02
20260225,PE,LONG,25550,2026-02-25 11:24:00.683000+05:30,2026-02-25 15:03:00.346000+05:30,100.95,158.4,65,3734.25,69.94,3664.31,Flip,2026-02
20260225,PE,SHORT,25550,2026-02-25 15:03:00.346000+05:30,2026-02-25 15:25:59.647000+05:30,158.4,167.05,65,-562.25,71.88,-634.13,EOD,2026-02
20260226,CE,SHORT,25550,2026-02-26 10:57:00.406000+05:30,2026-02-26 11:26:00.386000+05:30,112.2,141.3,65,-1891.5,65.35,-1956.85,Flip,2026-02
20260226,CE,LONG,25550,2026-02-26 11:26:00.386000+05:30,2026-02-26 11:39:00.010000+05:30,141.3,111.6,65,-1930.5,65.28,-1995.78,Flip,2026-02
20260226,CE,SHORT,25550,2026-02-26 11:39:00.010000+05:30,2026-02-26 14:37:00.948000+05:30,111.6,87.85,65,1543.75,63.71,1480.04,Flip,2026-02
20260226,CE,LONG,25550,2026-02-26 14:37:00.948000+05:30,2026-02-26 15:25:59.740000+05:30,87.85,100.6,65,828.75,62.34,766.41,EOD,2026-02
20260226,PE,SHORT,25550,2026-02-26 11:26:00.384000+05:30,2026-02-26 11:40:00.101000+05:30,103.8,134.85,65,-2018.25,64.12,-2082.37,Flip,2026-02
20260226,PE,LONG,25550,2026-02-26 11:40:00.101000+05:30,2026-02-26 14:34:00.047000+05:30,134.85,162.75,65,1813.5,71.48,1742.02,Flip,2026-02
20260226,PE,SHORT,25550,2026-02-26 14:34:00.047000+05:30,2026-02-26 15:25:59.740000+05:30,162.75,137.45,65,1644.5,71.55,1572.95,EOD,2026-02
20260227,CE,SHORT,25400,2026-02-27 11:35:00.245000+05:30,2026-02-27 13:56:00.787000+05:30,63.6,77.4,65,-897.0,57.41,-954.41,Flip,2026-02
20260227,CE,LONG,25400,2026-02-27 13:56:00.787000+05:30,2026-02-27 14:33:00.885000+05:30,77.4,56.85,65,-1335.75,56.57,-1392.32,Flip,2026-02
20260227,CE,SHORT,25400,2026-02-27 14:33:00.885000+05:30,2026-02-27 15:25:59.219000+05:30,56.85,39.0,65,1160.25,55.44,1104.81,EOD,2026-02
