date,entry_bar,exit_bar,hold_bars,direction,atm_strike,box_strike,dte,fair_box,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_misprice,exit_misprice,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260401,2026-04-01 10:07:00+05:30,2026-04-01 10:08:00+05:30,1,-1 (buy box),52000,52100,27,99.52,1553.2,1522.75,1696.45,1721.9,1557.45,1506.05,1702.55,1750.0,55.9,98.85,-43.62,-0.67,30,1288.5,652.69,635.81,Revert,2026-04
20260401,2026-04-01 10:10:00+05:30,2026-04-01 10:13:00+05:30,3,-1 (buy box),52000,52100,27,99.52,1525.55,1499.1,1737.8,1780.0,1511.65,1470.05,1720.55,1781.0,68.65,102.05,-30.87,2.53,30,1002.0,653.02,348.98,Revert,2026-04
20260401,2026-04-01 10:24:00+05:30,2026-04-01 10:28:00+05:30,4,-1 (buy box),52000,52100,27,99.52,1410.05,1370.0,1824.25,1862.8,1377.0,1325.4,1889.55,1938.15,78.6,100.2,-20.92,0.68,30,648.0,651.75,-3.75,Revert,2026-04
20260401,2026-04-01 10:29:00+05:30,2026-04-01 10:35:00+05:30,6,+1 (sell box),52000,52100,27,99.52,1396.75,1331.3,1860.55,1943.4,1395.15,1352.9,1875.5,1931.9,148.3,98.65,48.78,-0.87,30,1489.5,655.58,833.92,Revert,2026-04
20260401,2026-04-01 10:38:00+05:30,2026-04-01 10:42:00+05:30,4,+1 (sell box),52000,52100,27,99.52,1406.9,1346.0,1858.45,1919.75,1390.0,1358.0,1863.9,1931.95,122.2,100.05,22.68,0.53,30,664.5,654.53,9.97,Revert,2026-04
20260401,2026-04-01 10:48:00+05:30,2026-04-01 10:49:00+05:30,1,+1 (sell box),52000,52100,27,99.52,1428.0,1367.4,1806.35,1871.55,1422.0,1376.2,1829.0,1881.9,125.8,98.7,26.28,-0.82,30,813.0,651.34,161.66,Revert,2026-04
20260401,2026-04-01 11:03:00+05:30,2026-04-01 11:07:00+05:30,4,+1 (sell box),52000,52100,27,99.52,1407.4,1350.0,1851.95,1922.5,1396.4,1350.0,1872.65,1928.55,127.95,102.3,28.43,2.78,30,769.5,654.76,114.74,Revert,2026-04
20260401,2026-04-01 11:10:00+05:30,2026-04-01 11:12:00+05:30,2,+1 (sell box),52000,52100,27,99.52,1418.25,1359.0,1825.8,1919.8,1426.45,1372.6,1836.7,1880.1,153.25,97.25,53.73,-2.27,30,1680.0,653.98,1026.02,Revert,2026-04
20260401,2026-04-01 11:20:00+05:30,2026-04-01 11:26:00+05:30,6,+1 (sell box),52000,52100,27,99.52,1432.0,1383.0,1826.9,1903.05,1458.4,1406.05,1795.0,1840.0,125.15,97.35,25.63,-2.17,30,834.0,653.56,180.44,Revert,2026-04
20260401,2026-04-01 11:37:00+05:30,2026-04-01 11:55:00+05:30,18,+1 (sell box),52000,52100,27,99.52,1507.9,1450.0,1735.0,1801.9,1461.6,1408.0,1777.0,1820.0,124.8,96.6,25.28,-2.92,30,846.0,650.62,195.38,Revert,2026-04
20260401,2026-04-01 12:18:00+05:30,2026-04-01 12:20:00+05:30,2,-1 (buy box),52000,52100,27,99.52,1622.5,1571.3,1586.25,1613.25,1610.0,1552.8,1596.85,1641.35,78.2,101.7,-21.32,2.18,30,705.0,644.57,60.43,Revert,2026-04
20260401,2026-04-01 12:23:00+05:30,2026-04-01 12:29:00+05:30,6,-1 (buy box),52000,52100,27,99.52,1606.9,1565.6,1606.25,1643.15,1630.0,1573.45,1589.55,1629.9,78.2,96.9,-21.32,-2.62,30,561.0,646.26,-85.26,Revert,2026-04
20260401,2026-04-01 12:58:00+05:30,2026-04-01 12:59:00+05:30,1,-1 (buy box),52000,52100,27,99.52,1716.1,1667.3,1477.2,1504.7,1721.8,1662.6,1475.65,1516.6,76.3,100.15,-23.22,0.63,30,715.5,642.72,72.78,Revert,2026-04
20260401,2026-04-01 13:11:00+05:30,2026-04-01 13:21:00+05:30,10,-1 (buy box),52000,52100,27,99.52,1732.05,1690.65,1450.0,1486.65,1689.25,1632.2,1482.25,1524.6,78.05,99.4,-21.47,-0.12,30,640.5,640.73,-0.23,Revert,2026-04
20260401,2026-04-01 14:33:00+05:30,2026-04-01 14:38:00+05:30,5,-1 (buy box),52000,52100,27,99.52,1590.75,1534.95,1630.9,1653.65,1537.95,1479.45,1666.45,1708.25,78.55,100.3,-20.97,0.78,30,652.5,644.82,7.68,Revert,2026-04
20260401,2026-04-01 14:52:00+05:30,2026-04-01 14:54:00+05:30,2,+1 (sell box),52000,52100,27,99.52,1505.65,1430.35,1733.5,1783.9,1503.5,1453.2,1720.0,1771.95,125.7,102.25,26.18,2.73,30,703.5,648.4,55.1,Revert,2026-04
20260401,2026-04-01 14:58:00+05:30,2026-04-01 15:00:00+05:30,2,-1 (buy box),52000,52100,27,99.52,1522.15,1486.0,1692.65,1729.6,1545.05,1497.15,1664.15,1718.55,73.1,102.3,-26.42,2.78,30,876.0,646.87,229.13,Revert,2026-04
20260402,2026-04-02 09:36:00+05:30,2026-04-02 09:40:00+05:30,4,-1 (buy box),50400,50500,26,99.54,1788.05,1757.75,1640.2,1676.95,1780.25,1722.05,1665.2,1709.0,67.05,102.0,-32.49,2.46,30,1048.5,678.45,370.05,Revert,2026-04
20260402,2026-04-02 09:45:00+05:30,2026-04-02 09:46:00+05:30,1,-1 (buy box),50400,50500,26,99.54,1777.9,1739.75,1673.5,1710.0,1759.0,1709.7,1689.55,1738.85,74.65,98.6,-24.89,-0.94,30,718.5,680.3,38.2,Revert,2026-04
