date,leg,entry_bar,exit_bar,hold_bars,expiry_date,k0_strike,atm_strike,k2_strike,entry_k0,entry_k1,entry_k2,exit_k0,exit_k1,exit_k2,entry_bf,exit_bf,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260323,PE,2026-03-23 13:54:00+05:30,2026-03-23 13:56:00+05:30,2,2026-03-30,52200,52300,52400,1220.0,1276.8,1298.45,1210.85,1253.65,1298.45,-35.15,2.0,30,1114.5,501.4,613.1,Revert,2026-03
20260323,PE,2026-03-23 13:58:00+05:30,2026-03-23 14:00:00+05:30,2,2026-03-30,52200,52300,52400,1212.6,1266.6,1298.9,1209.45,1253.55,1330.0,-21.7,32.35,30,1621.5,501.86,1119.64,Revert,2026-03
20260323,PE,2026-03-23 14:05:00+05:30,2026-03-23 14:07:00+05:30,2,2026-03-30,52200,52300,52400,1137.0,1188.0,1213.2,1126.85,1169.75,1219.8,-25.8,7.15,30,988.5,477.24,511.26,Revert,2026-03
20260323,PE,2026-03-23 14:12:00+05:30,2026-03-23 14:14:00+05:30,2,2026-03-30,52200,52300,52400,1143.5,1201.3,1235.85,1158.15,1205.15,1253.6,-23.25,1.45,30,741.0,483.88,257.12,Revert,2026-03
20260323,PE,2026-03-23 14:18:00+05:30,2026-03-23 14:21:00+05:30,3,2026-03-30,52200,52300,52400,1143.7,1199.6,1232.85,1140.25,1188.85,1240.25,-22.65,2.8,30,763.5,481.4,282.1,Revert,2026-03
20260323,PE,2026-03-23 14:47:00+05:30,2026-03-23 14:49:00+05:30,2,2026-03-30,52200,52300,52400,1284.45,1343.0,1369.65,1279.7,1320.9,1384.05,-31.9,21.95,30,1615.5,521.59,1093.91,Revert,2026-03
20260323,PE,2026-03-23 15:03:00+05:30,2026-03-23 15:09:00+05:30,6,2026-03-30,52200,52300,52400,1332.85,1383.7,1404.8,1351.4,1398.35,1453.3,-29.75,8.0,30,1132.5,537.63,594.87,Revert,2026-03
20260323,PE,2026-03-23 15:21:00+05:30,2026-03-23 15:22:00+05:30,1,2026-03-30,52200,52300,52400,1506.0,1563.25,1599.75,1502.2,1555.2,1620.7,-20.75,12.5,30,997.5,585.89,411.61,Revert,2026-03
20260324,CE,2026-03-24 12:39:00+05:30,2026-03-24 12:40:00+05:30,1,2026-03-30,52500,52600,52700,952.6,910.7,844.2,970.85,912.85,863.7,-24.6,8.85,30,1003.5,401.32,602.18,Revert,2026-03
20260324,CE,2026-03-24 13:46:00+05:30,2026-03-24 13:47:00+05:30,1,2026-03-30,52500,52600,52700,1101.6,1062.65,989.6,1075.05,1008.45,954.75,-34.1,12.9,30,1410.0,436.66,973.34,Revert,2026-03
20260324,CE,2026-03-24 13:56:00+05:30,2026-03-24 13:57:00+05:30,1,2026-03-30,52500,52600,52700,1038.7,989.85,918.9,1044.55,985.2,930.25,-22.1,4.4,30,795.0,422.66,372.34,Revert,2026-03
20260324,PE,2026-03-24 09:53:00+05:30,2026-03-24 09:55:00+05:30,2,2026-03-30,52500,52600,52700,1041.25,1110.75,1157.35,1009.1,1070.0,1149.9,-22.9,19.0,30,1257.0,452.77,804.23,Revert,2026-03
20260324,PE,2026-03-24 10:08:00+05:30,2026-03-24 10:14:00+05:30,6,2026-03-30,52500,52600,52700,1142.65,1207.75,1247.4,1104.55,1158.45,1215.15,-25.45,2.8,30,847.5,478.2,369.3,Revert,2026-03
20260324,PE,2026-03-24 10:21:00+05:30,2026-03-24 10:24:00+05:30,3,2026-03-30,52500,52600,52700,1040.0,1115.85,1168.45,1003.55,1050.75,1111.2,-23.25,13.25,30,1095.0,450.42,644.58,Revert,2026-03
20260324,PE,2026-03-24 10:46:00+05:30,2026-03-24 10:47:00+05:30,1,2026-03-30,52500,52600,52700,1164.45,1228.55,1257.55,1153.35,1197.3,1265.0,-35.1,23.75,30,1765.5,487.76,1277.74,Revert,2026-03
20260324,PE,2026-03-24 10:50:00+05:30,2026-03-24 10:53:00+05:30,3,2026-03-30,52500,52600,52700,1089.65,1170.1,1221.6,1169.05,1232.0,1298.1,-28.95,3.15,30,963.0,483.28,479.72,Revert,2026-03
20260324,PE,2026-03-24 11:01:00+05:30,2026-03-24 11:02:00+05:30,1,2026-03-30,52500,52600,52700,1180.55,1268.65,1298.35,1187.5,1238.15,1298.5,-58.4,9.7,30,2043.0,498.16,1544.84,Revert,2026-03
20260324,PE,2026-03-24 11:06:00+05:30,2026-03-24 11:08:00+05:30,2,2026-03-30,52500,52600,52700,1182.25,1247.25,1291.7,1147.8,1208.35,1285.0,-20.55,16.1,30,1099.5,491.75,607.75,Revert,2026-03
20260324,PE,2026-03-24 11:13:00+05:30,2026-03-24 11:15:00+05:30,2,2026-03-30,52500,52600,52700,1140.15,1210.5,1247.6,1123.7,1180.75,1244.15,-33.25,6.35,30,1188.0,481.86,706.14,Revert,2026-03
